0,0,-2.35619,0,0
1,0,-2.35006,0,0
2,0,-2.34392,0,0
3,0,-2.33779,0,0
4,0,-2.33165,0,0
5,0,-2.32551,0,0
6,0,-2.31938,0,0
7,0,-2.31324,0,0
8,0,-2.30711,0,0
9,0,-2.30097,0,0
10,0,-2.29484,0,0
11,0,-2.2887,0,0
12,0,-2.28256,0,0
13,0,-2.27643,0,0
14,0,-2.27029,0,0
15,0,-2.26416,0,0
16,0,-2.25802,0,0
17,0,-2.25188,0,0
18,0,-2.24575,0,0
19,0,-2.23961,0,0
20,0,-2.23348,0,0
21,0,-2.22734,0,0
22,0,-2.2212,0,0
23,0,-2.21507,0,0
24,0,-2.20893,0,0
25,0,-2.2028,0,0
26,0,-2.19666,0,0
27,0,-2.19052,0,0
28,0,-2.18439,0,0
29,0,-2.17825,0,0
30,0,-2.17212,0,0
31,0,-2.16598,0,0
32,0,-2.15984,0,0
33,0,-2.15371,0,0
34,0,-2.14757,0,0
35,0,-2.14144,0,0
36,0,-2.1353,0,0
37,0,-2.12917,0,0
38,0,-2.12303,0,0
39,0,-2.11689,0,0
40,0,-2.11076,0,0
41,0,-2.10462,0,0
42,0,-2.09849,0,0
43,0,-2.09235,0,0
44,991,-2.08621,-488.462,-862.256
45,991,-2.08008,-483.162,-865.237
46,991,-2.07394,-477.844,-868.185
47,991,-2.06781,-472.508,-871.101
48,990,-2.06167,-466.683,-873.102
49,987,-2.05553,-459.919,-873.295
50,986,-2.0494,-454.091,-875.213
51,986,-2.04326,-448.712,-877.982
52,986,-2.03713,-443.317,-880.719
53,983,-2.03099,-436.572,-880.735
54,983,-2.02485,-431.16,-883.397
55,983,-2.01872,-425.731,-886.026
56,984,-2.01258,-420.714,-889.525
57,983,-2.00645,-414.826,-891.184
58,981,-2.00031,-408.517,-891.894
59,978,-1.99418,-401.805,-891.648
60,978,-1.98804,-396.326,-894.097
61,978,-1.9819,-390.832,-896.512
62,977,-1.97577,-384.93,-897.974
63,977,-1.96963,-379.413,-900.319
64,974,-1.9635,-372.734,-899.859
65,959,-1.95736,-361.55,-888.236
66,959,-1.95122,-356.093,-890.437
67,958,-1.94509,-350.257,-891.675
68,957,-1.93895,-344.42,-892.874
69,957,-1.93282,-338.934,-894.971
70,953,-1.92668,-332.043,-893.284
71,949,-1.92054,-325.185,-891.547
72,946,-1.91441,-318.698,-890.701
73,948,-1.90827,-313.889,-894.527
74,938,-1.90214,-305.141,-886.98
75,938,-1.896,-299.693,-888.835
76,938,-1.88986,-294.233,-890.657
